userId,itemId,rating
39,48,1.0
29,85,2.0
15,39,2.5
43,100,4.5
8,33,0.5
21,94,4.0
39,23,0.5
19,10,4.0
23,69,0.5
11,100,0.0
11,34,3.5
24,52,5.0
36,95,4.5
40,10,3.0
24,19,4.5
3,58,0.0
22,96,5.0
2,1,2.5
24,69,3.5
44,4,4.0
30,16,3.5
38,24,2.5
2,80,2.5
21,2,4.0
33,92,1.0
12,32,5.0
22,91,3.5
44,84,1.0
25,24,3.5
49,12,2.5
27,50,3.5
42,35,4.0
28,33,0.5
16,33,2.5
15,61,4.5
47,51,1.5
44,43,3.0
3,12,2.0
37,67,2.5
7,65,2.5
21,33,2.5
9,40,1.0
39,74,3.5
18,43,0.5
4,44,0.5
25,29,0.0
14,13,0.5
50,12,2.5
9,95,3.0
26,46,4.0
2,2,0.5
20,35,4.5
28,87,3.5
47,81,2.0
7,90,4.5
44,8,5.0
8,93,1.0
47,26,2.0
35,74,4.5
14,90,3.5
17,34,0.0
36,7,4.0
50,68,4.0
40,58,4.0
4,75,4.0
2,29,4.0
6,36,1.0
42,89,1.0
4,21,3.0
29,36,4.5
18,10,1.5
26,73,3.0
44,24,3.5
34,64,2.5
10,99,3.5
36,49,4.5
14,99,3.0
31,36,2.5
48,82,2.0
15,96,3.0
8,24,2.0
14,23,2.0
23,62,2.5
40,96,0.5
21,37,1.0
16,12,2.5
45,55,2.0
18,13,1.5
47,23,3.5
24,89,3.5
26,99,1.0
25,30,4.5
45,17,2.5
41,62,3.5
29,84,3.0
15,89,5.0
45,86,4.0
1,13,3.5
25,59,4.0
7,19,0.5
9,49,1.0
24,100,3.5
1,12,2.5
44,61,4.0
8,19,0.5
24,76,2.5
11,9,2.0
17,71,2.5
8,28,3.0
35,78,2.5
35,95,2.5
33,52,2.5
5,83,2.0
42,16,4.0
39,69,0.0
41,99,3.0
28,12,3.0
7,25,3.5
9,52,3.0
8,85,4.0
12,100,5.0
34,53,1.5
33,23,1.0
48,16,2.0
23,57,1.5
24,39,3.0
37,53,4.5
35,42,0.5
44,58,0.5
40,39,1.5
22,14,3.5
27,95,3.0
35,5,0.5
1,35,4.5
35,87,4.0
37,93,0.0
47,75,3.5
14,18,4.0
3,76,2.0
1,9,0.5
5,74,0.5
26,58,0.5
14,17,4.0
39,7,4.5
27,46,0.5
9,13,1.0
15,40,1.0
15,42,1.0
26,9,4.0
42,50,1.5
13,27,1.5
32,66,1.0
39,5,3.0
49,29,2.0
32,37,3.5
4,38,1.0
30,83,4.0
37,8,3.0
23,65,0.5
39,86,2.0
15,71,4.5
43,89,2.5
29,45,2.5
36,4,4.5
13,36,3.0
32,70,0.0
7,31,4.5
22,19,1.0
28,61,3.0
2,54,1.0
42,39,0.0
45,91,1.5
6,74,4.0
28,90,1.5
28,19,1.0
44,39,1.0
44,67,2.5
20,45,5.0
30,13,2.5
11,92,3.0
28,58,4.5
25,20,2.5
39,92,1.0
33,72,1.5
1,61,1.5
27,39,2.0
13,1,2.0
41,3,4.0
3,77,1.5
6,62,3.0
8,63,2.0
27,25,4.0
9,56,3.0
37,33,1.5
33,38,3.5
42,6,2.5
24,44,2.5
15,45,2.5
32,32,4.0
32,45,0.5
24,61,1.5
41,47,0.5
49,21,4.0
49,80,1.5
12,85,4.5
39,75,2.5
2,36,4.0
3,99,5.0
49,19,4.0
37,20,4.5
49,57,2.0
17,18,3.0
49,47,1.5
2,49,1.0
2,14,2.5
28,15,3.0
23,31,1.5
37,1,3.0
32,54,4.5
33,3,3.0
1,16,3.5
19,87,4.0
2,57,5.0
44,75,3.0
26,12,4.0
32,74,5.0
6,96,4.5
32,16,0.5
4,72,2.0
11,76,1.5
17,24,0.5
38,28,3.0
24,8,3.5
5,92,4.0
34,36,0.5
6,90,4.5
22,8,3.0
11,58,3.5
48,60,4.5
16,50,3.0
33,28,1.5
9,92,4.0
6,41,2.0
16,100,0.0
29,64,4.0
3,27,1.5
20,63,4.0
36,17,2.0
19,73,4.5
26,33,1.0
3,84,5.0
19,77,4.0
20,92,0.5
32,29,3.0
7,13,5.0
41,46,2.5
33,35,1.0
40,6,2.5
39,82,2.5
18,69,3.5
40,47,3.5
1,25,2.0
11,66,1.0
28,10,3.0
25,56,2.0
50,30,0.5
23,5,4.5
31,33,3.5
30,65,3.5
42,18,4.0
35,96,2.5
7,49,4.0
16,11,2.5
26,85,0.5
48,26,2.0
49,63,2.5
2,89,3.5
1,86,0.5
48,59,0.5
12,27,1.5
5,49,1.5
37,77,3.5
32,33,1.5
9,98,3.0
35,1,3.0
19,21,4.0
48,55,2.0
16,6,4.0
3,92,2.0
20,81,2.0
33,95,1.0
24,5,0.5
11,3,4.0
49,53,0.5
8,23,4.0
36,53,2.0
38,37,4.5
40,74,3.5
20,74,3.0
35,83,4.5
48,17,2.0
25,85,5.0
25,73,2.5
29,1,1.5
18,51,2.5
46,45,1.0
18,77,4.0
2,4,4.0
35,62,5.0
16,65,1.0
41,32,3.0
36,34,2.5
4,95,2.0
14,39,3.5
21,26,3.0
48,34,2.5
20,54,0.5
8,3,0.5
7,50,0.0
17,65,0.0
33,54,0.5
48,5,1.5
12,94,4.0
22,94,5.0
22,57,4.0
46,17,3.5
30,47,2.5
38,23,0.5
38,79,5.0
45,85,4.0
8,14,3.0
27,66,4.0
27,75,3.5
34,51,3.0
21,38,5.0
30,64,4.5
33,98,3.0
28,38,3.5
47,50,0.5
5,82,0.0
48,30,3.0
19,79,5.0
4,91,3.0
35,51,2.5
17,98,0.5
44,52,3.5
30,97,0.5
29,88,2.0
46,79,4.0
6,30,3.5
41,81,2.5
37,5,2.5
24,29,3.0
29,4,3.5
49,10,2.0
46,56,3.0
31,17,2.5
33,17,2.5
21,84,2.0
32,88,2.0
33,34,4.0
3,6,2.5
18,53,3.5
25,66,3.5
42,77,2.5
31,43,2.0
3,75,4.5
40,23,2.0
46,55,2.5
